file	key	original	translation	status	context	entities	tone
lang/en.txt	1	null			blank lines are ignored		
lang/en.txt	1900	barbarian	варвар	fuzzy	class names	barbarian	-
lang/en.txt	1901	warrior	воїн	fuzzy	class names	warrior	-
lang/en.txt	1902	healer	цілитель	fuzzy	class names	healer	-
lang/en.txt	1903	rogue	пройдисвіт	fuzzy	class names	rogue	-
lang/en.txt	1904	wanderer	мандрівник	fuzzy	class names	wanderer	-
lang/en.txt	1905	cleric	клірик	fuzzy	class names	cleric	-
lang/en.txt	1906	merchant	торговець	fuzzy	class names	merchant	-
lang/en.txt	1907	wizard	чарівник	fuzzy	class names	wizard	-
lang/en.txt	1908	arcanist	арканіст	fuzzy	class names	arcanist	-
lang/en.txt	1909	joker	блазень	fuzzy	class names	joker	-
lang/en.txt	10	DEPRECATED			class descriptions		
lang/en.txt	11	DEPRECATED			class descriptions		
lang/en.txt	12	DEPRECATED			class descriptions		
lang/en.txt	13	DEPRECATED			class descriptions		
lang/en.txt	14	DEPRECATED			class descriptions		
lang/en.txt	15	DEPRECATED			class descriptions		
lang/en.txt	16	DEPRECATED			class descriptions		
lang/en.txt	17	DEPRECATED			class descriptions		
lang/en.txt	18	DEPRECATED			class descriptions		
lang/en.txt	19	DEPRECATED			class descriptions		
lang/en.txt	20	landguard	Землеварт	fuzzy	appearance names	landguard	-
lang/en.txt	21	northborn	Північнороджений	fuzzy	appearance names	northborn	-
lang/en.txt	22	firebrand	Вогнеклеймо	fuzzy	appearance names	firebrand	-
lang/en.txt	23	hardbred	Суворовихований	fuzzy	appearance names	hardbred	-
lang/en.txt	24	highwatch	Високоварт	fuzzy	appearance names	highwatch	-
lang/en.txt	25	gloomforge	Морококузня	fuzzy	appearance names	gloomforge	-
lang/en.txt	26	pyrebloom	Вогнецвіт	fuzzy	appearance names	pyrebloom	-
lang/en.txt	27	snakestone	Змієкамінь	fuzzy	appearance names	snakestone	-
lang/en.txt	28	windclan	Вітроклан	fuzzy	appearance names	windclan	-
lang/en.txt	29	warblood	Бойовокровний	fuzzy	appearance names	warblood	-
lang/en.txt	30	millbound	Млиноприв'язаний	fuzzy	appearance names	millbound	-
lang/en.txt	31	sunstalk	Сонцестебло	fuzzy	appearance names	sunstalk	-
lang/en.txt	32	claymount	Глинокряж	fuzzy	appearance names	claymount	-
lang/en.txt	33	stormward	Буреварт	fuzzy	appearance names	stormward	-
lang/en.txt	34	tradefall	Торгоспад	fuzzy	appearance names	tradefall	-
