id	term	variants	translation	stem	forms	note	category	status
baron_herx	Baron Herx	Baron|Baron's|BARON HERX's	Барон Геркс				Персонажі	
orpheus	Orpheus	Orpheus'	Орфей				Персонажі	
merlin	Merlin		Мерлін				Персонажі	
gnome_king	Gnome King		король гномів				Персонажі	
lich	Lich	Liches|LICH'S|liches'	ліч				Персонажі	
barbarian	Barbarian	Barbarians	варвар				Класи	
warrior	Warrior	Warriors	воїн				Класи	
healer	Healer	Healers	цілитель				Класи	
rogue	Rogue	Rogues	пройдисвіт				Класи	
wanderer	Wanderer	Wanderers|Wanderer's	мандрівник				Класи	
cleric	Cleric	Clerics	клірик				Класи	
merchant	Merchant	Merchants|MERCHANTS'|Merchant's	торговець				Класи	
wizard	Wizard	Wizards	чарівник				Класи	
arcanist	Arcanist	Arcanists	арканіст				Класи	
joker	Joker	Jokers|JOKER'S	блазень				Класи	
sexton	Sexton	Sextons	паламар				Класи	
ninja	Ninja	Ninjas	ніндзя				Класи	
monk	Monk	Monks|Monk's	монах				Класи	
human	Human	Humans|non-human|Non-humans	людина				Раси	
skeleton	Skeleton	Skeletons	скелет				Раси	
vampire	Vampire	Vampires|vampiric	вампір				Раси	
succubus	Succubus	Succubi	сукуб				Раси	
goatman	Goatman	Goatmen|Goatman's	козолюд				Раси	
automaton	Automaton	Automatons|Automata	автоматон				Раси	
incubus	Incubus	Incubi	інкуб				Раси	
goblin	Goblin	Goblins	гоблін				Раси	
insectoid	Insectoid	Insectoids	комахолюд				Раси	
rat	Rat	Rats	Щур				Істоти	
spider	Spider	Spiders|spider's	Павук				Істоти	
troll	Troll	Trolls	Троль				Істоти	
ghoul	Ghoul	Ghouls	упир				Істоти	
minotaur	Minotaur	Minotaurs|minotaur's	Мінотавр				Істоти	
shopkeeper	Shopkeeper	Shopkeepers|shopkeep|shopkeeper's	Крамар				Істоти	
slime	Slime	Slimes|slimy blob	слиз				Істоти	
dungeon	Dungeon	Dungeons|dungeoning|dungeon floors|dungeon's	Підземелля				Механіки	
mines	Mines	mine|mined	Шахти				Механіки	
swamp	Swamp		Болото				Механіки	
labyrinth	Labyrinth	labyrinths	Лабіринт				Механіки	
ruins	Ruins		Руїни				Механіки	
hell	Hell	Hell's	Пекло				Механіки	
hunger	Hunger		Голод				Механіки	
level	Level	Levels|level-ups	Рівень				Механіки	
spell	Spell	Spells|spell's	Закляття				Механіки	
scroll	Scroll	Scrolls	Сувій				Механіки	
potion	Potion	Potions	Зілля				Механіки	
new_game	New Game		Нова гра				Інтерфейс	
load_game	Load Game		Завантажити гру				Інтерфейс	
settings	Settings		Налаштування				Інтерфейс	
quit	Quit		Вийти				Інтерфейс	
landguard	landguard		Землеварт			Назва варіанта зовнішності.	Загальне	
northborn	northborn		Північнороджений			Назва варіанта зовнішності.	Загальне	
firebrand	firebrand		Вогнеклеймо			Назва варіанта зовнішності.	Загальне	
hardbred	hardbred		Суворовихований			Назва варіанта зовнішності.	Загальне	
highwatch	highwatch		Високоварт			Назва варіанта зовнішності.	Загальне	
gloomforge	gloomforge		Морококузня			Назва варіанта зовнішності.	Загальне	
pyrebloom	pyrebloom		Вогнецвіт			Назва варіанта зовнішності.	Загальне	
snakestone	snakestone		Змієкамінь			Назва варіанта зовнішності.	Загальне	
windclan	windclan		Вітроклан			Назва варіанта зовнішності.	Загальне	
warblood	warblood		Бойовокровний			Назва варіанта зовнішності.	Загальне	
millbound	millbound		Млиноприв'язаний			Назва варіанта зовнішності.	Загальне	
sunstalk	sunstalk		Сонцестебло			Назва варіанта зовнішності.	Загальне	
claymount	claymount		Глинокряж			Назва варіанта зовнішності.	Загальне	
stormward	stormward		Буреварт			Назва варіанта зовнішності.	Загальне	
